#Teff logg M_div_H F218W F255W F300W F336W F439W F450W F555W F606W F622W F675W F791W F814W F850LP
3000.0 1.0 -0.5 -10.392744 -11.020315 -6.972690 -6.542188 -5.559297 -5.332103 -4.304525 -3.632618 -3.576726 -2.586725 -0.572637 -0.435602  0.426343
3000.0 1.5 -0.5 -10.255482 -10.798861 -6.733708 -6.239217 -5.221723 -5.042419 -4.063450 -3.427553 -3.371460 -2.412753 -0.437187 -0.309562  0.524569
3000.0 2.0 -0.5 -10.128132 -10.596950 -6.517018 -5.966233 -4.943718 -4.798169 -3.837900 -3.231934 -3.171419 -2.248071 -0.310647 -0.191862  0.615205
3000.0 2.5 -0.5 -9.993138 -10.392063 -6.323831 -5.723853 -4.691587 -4.524624 -3.486673 -2.897857 -2.810424 -1.978743 -0.158443 -0.053524  0.708455
3000.0 3.0 -0.5 -9.948456 -10.300179 -6.281765 -5.663987 -4.648043 -4.424400 -3.264693 -2.665283 -2.548246 -1.786638 -0.099281 -0.001974  0.723520
3000.0 3.5 -0.5 -9.924177 -10.255512 -6.275770 -5.656452 -4.649463 -4.390383 -3.134676 -2.529943 -2.393058 -1.674803 -0.055951  0.035869  0.736859
3000.0 4.0 -0.5 -9.890041 -10.231609 -6.264697 -5.625626 -4.581929 -4.274301 -2.895754 -2.284056 -2.116165 -1.484761  0.023101  0.103150  0.767112
3000.0 4.5 -0.5 -9.915178 -10.350619 -6.378069 -5.775071 -4.724419 -4.408708 -2.936846 -2.317088 -2.134860 -1.507990  0.026471  0.106129  0.767036
3000.0 5.0 -0.5 -9.936048 -10.479358 -6.500901 -5.948456 -4.901142 -4.566578 -3.002725 -2.364316 -2.169335 -1.531436  0.034048  0.113866  0.773387
3000.0 5.5 -0.5 -9.933402 -10.613402 -6.631443 -6.159936 -5.193149 -4.819137 -3.163491 -2.464654 -2.264319 -1.557980  0.065646  0.148575  0.815391
3000.0 6.0 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 6.5 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 7.0 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 7.5 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 8.0 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 8.5 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 9.0 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3000.0 9.5 -0.5 -9.927586 -10.279875 -6.330194 -5.732326 -4.738628 -4.447212 -3.084455 -2.467164 -2.311198 -1.621008 -0.036744  0.052533  0.737788
3200.0 -4.0 -0.5 -10.433597 -11.239041 -7.231818 -6.865940 -6.054871 -5.298697 -3.680823 -2.962710 -2.816912 -2.067762 -0.467979 -0.372381  0.361923
3200.0 -3.0 -0.5 -10.433597 -11.239041 -7.231818 -6.865940 -6.054871 -5.298697 -3.680823 -2.962710 -2.816912 -2.067762 -0.467979 -0.372381  0.361923
3200.0 -2.0 -0.5 -10.433597 -11.239041 -7.231818 -6.865940 -6.054871 -5.298697 -3.680823 -2.962710 -2.816912 -2.067762 -0.467979 -0.372381  0.361923
3200.0 -1.5 -0.5 -10.433597 -11.239041 -7.231818 -6.865940 -6.054871 -5.298697 -3.680823 -2.962710 -2.816912 -2.067762 -0.467979 -0.372381  0.361923
